Accion,Actividad,Categoria,Emocion,person,Nose_x,Nose_y,Nose_c,Neck_x,Neck_y,Neck_c,RShoulder_x,RShoulder_y,RShoulder_c,RElbow_x,RElbow_y,RElbow_c,RWrist_x,RWrist_y,RWrist_c,LShoulder_x,LShoulder_y,LShoulder_c,LElbow_x,LElbow_y,LElbow_c,LWrist_x,LWrist_y,LWrist_c,MidHip_x,MidHip_y,MidHip_c,RHip_x,RHip_y,RHip_c,RKnee_x,RKnee_y,RKnee_c,LHip_x,LHip_y,LHip_c,LKnee_x,LKnee_y,LKnee_c
DarPaso,Caminar,Pausa,Neutral,0.0,844.6139999999999,51.8919,0.8734209999999999,865.202,90.0477,0.849068,810.8539999999999,106.19,0.793764,790.291,192.78,0.865727,862.227,204.575,0.869376,923.915,76.842,0.830198,953.227,145.852,0.858194,937.091,184.019,0.8299549999999999,891.581,247.136,0.725979,859.297,251.546,0.705248,882.7919999999999,344.039,0.774435,925.3430000000001,241.273,0.703163,945.945,341.108,0.840427
DarPaso,Caminar,Pausa,Neutral,0.0,847.557,54.8563,0.894877,868.1080000000001,97.3915,0.828174,812.332,110.57700000000001,0.784062,790.32,194.24599999999998,0.8772969999999999,862.212,211.888,0.848974,926.841,82.7257,0.830391,956.183,148.773,0.8813610000000001,942.94,192.785,0.81585,894.539,250.06400000000002,0.7313529999999999,860.7819999999999,257.402,0.7070029999999999,885.698,348.41900000000004,0.747073,928.283,244.209,0.733394,948.872,346.936,0.805232
DarPaso,Caminar,Pausa,Neutral,0.0,849.0269999999999,60.6689,0.8980870000000001,871.034,101.78399999999999,0.855927,813.775,113.564,0.777575,791.7589999999999,194.31400000000002,0.8748670000000001,857.8430000000001,216.324,0.8651139999999999,929.773,87.1346,0.8543370000000001,957.63,153.19299999999998,0.876083,944.461,197.213,0.864367,897.443,257.389,0.730711,862.258,263.288,0.72959,887.201,357.251,0.777918,929.7639999999999,250.05599999999998,0.753113,953.2360000000001,352.837,0.781339
DarPaso,Caminar,Pausa,Neutral,0.0,850.503,65.0711,0.906291,873.9680000000001,104.74700000000001,0.8624200000000001,815.24,117.96,0.7789739999999999,791.765,195.77599999999998,0.879318,857.818,225.088,0.8410120000000001,931.253,92.9938,0.812499,957.68,159.066,0.8531700000000001,945.923,203.084,0.8600969999999999,897.466,263.252,0.75234,862.2589999999999,267.67400000000004,0.728297,887.198,358.717,0.8160109999999999,931.215,255.94,0.738609,951.783,361.648,0.752425
DarPaso,Caminar,Pausa,Neutral,0.0,851.945,70.9449,0.900964,875.444,110.62100000000001,0.8528690000000001,815.26,122.361,0.799779,791.7860000000001,198.671,0.86761,853.442,231.017,0.8422149999999999,934.1560000000001,101.785,0.835463,960.5830000000001,169.30200000000002,0.862654,947.378,211.89,0.836168,898.932,267.687,0.758483,863.721,274.994,0.734955,887.2189999999999,361.64599999999996,0.78223,932.679,263.262,0.754275,953.2489999999999,371.906,0.6369319999999999
DarPaso,Caminar,Pausa,Neutral,0.0,853.422,76.822,0.893209,876.945,117.955,0.8547100000000001,816.694,128.2,0.7921520000000001,793.238,201.606,0.852467,851.934,244.19799999999998,0.8691139999999999,938.571,109.10700000000001,0.797752,963.534,176.658,0.827636,948.8439999999999,216.324,0.872901,898.954,275.005,0.769416,863.7230000000001,279.431,0.7227520000000001,888.677,367.51300000000003,0.778808,932.701,269.137,0.748606,950.328,370.44,0.666308
DarPaso,Caminar,Pausa,Neutral,0.0,856.365,84.1723,0.8893969999999999,878.3969999999999,123.824,0.8713860000000001,816.701,134.065,0.8137800000000001,794.7130000000001,206.01,0.841145,849.023,254.477,0.8267100000000001,942.955,117.921,0.784515,966.4580000000001,182.50400000000002,0.8613959999999999,950.313,225.115,0.858657,898.966,279.432,0.744379,865.176,286.755,0.707908,891.581,373.37800000000004,0.7705350000000001,932.706,275.039,0.738548,953.2669999999999,383.67400000000004,0.7824270000000001
DarPaso,Caminar,Pausa,Neutral,0.0,860.7330000000001,90.0584,0.8769020000000001,879.86,132.61700000000002,0.8724780000000001,816.706,138.496,0.784172,796.19,210.425,0.8196049999999999,841.706,266.218,0.822666,944.4639999999999,123.835,0.812059,969.4169999999999,191.33,0.8310559999999999,951.789,232.433,0.8497969999999999,900.408,283.836,0.7461760000000001,866.64,289.70099999999996,0.702266,890.1139999999999,374.841,0.74807,934.1469999999999,277.971,0.72844,956.1610000000001,392.464,0.777353
DarPaso,Caminar,Pausa,Neutral,0.0,862.225,100.34700000000001,0.91401,882.7760000000001,137.039,0.867117,816.7460000000001,145.858,0.79579,799.125,216.278,0.840776,838.765,279.421,0.848526,945.926,134.071,0.825176,973.779,200.15200000000002,0.853517,951.784,244.179,0.8592879999999999,901.8760000000001,291.16,0.755591,869.561,294.111,0.708802,888.643,376.332,0.758612,934.188,288.22900000000004,0.709758,957.6360000000001,404.202,0.7777970000000001
DarPaso,Caminar,Pausa,Neutral,0.0,863.675,109.119,0.9103709999999999,884.2560000000001,147.293,0.870655,819.645,151.689,0.800042,802.06,219.245,0.8670479999999999,834.3589999999999,291.18,0.8667299999999999,947.3889999999999,141.42,0.776367,976.76,211.89,0.8604219999999999,953.23,252.99900000000002,0.8450049999999999,901.8889999999999,298.491,0.736214,868.1239999999999,301.445,0.679312,890.133,382.205,0.758124,935.64,295.57099999999997,0.699654,957.66,411.561,0.7447590000000001
