Accion,Actividad,Categoria,Emocion,person,MidHip_x,MidHip_y,MidHip_c,RHip_x,RHip_y,RHip_c,RKnee_x,RKnee_y,RKnee_c,LHip_x,LHip_y,LHip_c,LKnee_x,LKnee_y,LKnee_c
DarPaso,Caminar,Pausa,Neutral,0.0,901.855,344.022,0.739058,865.194,342.57,0.687457,885.692,435.036,0.8494729999999999,935.6339999999999,345.477,0.684052,956.17,448.23800000000006,0.751739
DarPaso,Caminar,Pausa,Neutral,0.0,900.403,352.811,0.7152470000000001,865.1560000000001,351.346,0.669043,878.3960000000001,446.786,0.81679,934.188,354.292,0.6734180000000001,954.705,452.68,0.761748
DarPaso,Caminar,Pausa,Neutral,0.0,898.931,355.759,0.736163,863.687,355.73800000000006,0.687796,872.493,452.659,0.823593,932.71,357.231,0.701781,956.158,458.524,0.751599
DarPaso,Caminar,Pausa,Neutral,0.0,897.472,358.68,0.739142,862.207,357.218,0.685365,863.71,459.97900000000004,0.829347,932.668,360.176,0.718817,954.698,461.471,0.7530180000000001
DarPaso,Caminar,Pausa,Neutral,0.0,893.06,358.707,0.684067,854.914,355.77,0.655262,854.883,462.95599999999996,0.820567,929.7489999999999,364.55300000000005,0.696394,954.7180000000001,462.92199999999997,0.735053
DarPaso,Caminar,Pausa,Neutral,0.0,888.6569999999999,366.051,0.68176,851.9760000000001,363.09,0.663485,846.079,467.342,0.8162,928.2710000000001,371.903,0.68804,951.797,471.726,0.7102
DarPaso,Caminar,Pausa,Neutral,0.0,885.7230000000001,370.439,0.7015100000000001,850.5010000000001,366.04400000000004,0.65984,837.2860000000001,470.284,0.829744,925.3430000000001,376.3,0.682421,948.8330000000001,470.28,0.686767
DarPaso,Caminar,Pausa,Neutral,0.0,882.802,377.776,0.70005,849.0110000000001,371.914,0.627386,832.8660000000001,473.211,0.8454889999999999,920.938,383.64300000000003,0.66605,948.828,473.218,0.7341489999999999
DarPaso,Caminar,Pausa,Neutral,0.0,881.332,383.664,0.705832,846.0930000000001,377.78,0.615838,828.488,476.156,0.843308,916.555,389.50199999999995,0.6859069999999999,948.8389999999999,477.616,0.733725
DarPaso,Caminar,Pausa,Neutral,0.0,878.382,389.542,0.703526,841.673,385.125,0.625778,828.457,482.029,0.830888,913.59,392.48,0.682508,947.3989999999999,483.454,0.727146
DarPaso,Caminar,Pausa,Neutral,0.0,873.987,392.47900000000004,0.639798,838.745,389.541,0.619,831.3910000000001,487.87699999999995,0.78225,909.2080000000001,398.33,0.637933,944.436,484.936,0.718896
DarPaso,Caminar,Pausa,Neutral,0.0,871.055,404.21,0.663325,837.2769999999999,401.274,0.642653,829.922,498.148,0.769063,906.26,405.68199999999996,0.654465,944.4119999999999,487.88,0.7268939999999999
DarPaso,Caminar,Pausa,Neutral,0.0,868.084,404.225,0.662406,837.248,402.728,0.6452359999999999,822.6080000000001,499.662,0.762297,898.953,407.135,0.658582,940.029,490.82199999999995,0.646849
DarPaso,Caminar,Pausa,Neutral,0.0,862.206,408.615,0.6759649999999999,831.3989999999999,405.69,0.6364350000000001,816.715,502.577,0.797363,893.059,411.54400000000004,0.623494,931.247,490.815,0.6657390000000001
DarPaso,Caminar,Pausa,Neutral,0.0,854.8739999999999,410.07099999999997,0.625943,825.51,405.67800000000005,0.561998,813.76,502.55800000000005,0.760731,884.237,414.467,0.612053,922.447,498.14300000000003,0.705018
DarPaso,Caminar,Pausa,Neutral,0.0,847.5419999999999,417.42900000000003,0.602629,815.268,413.023,0.591952,807.916,512.842,0.744699,878.3660000000001,423.293,0.586374,915.081,501.099,0.746237
DarPaso,Caminar,Pausa,Neutral,0.0,837.289,426.221,0.6362270000000001,807.904,421.825,0.583422,804.966,520.187,0.800158,868.112,430.63800000000003,0.597731,906.2769999999999,508.412,0.779086
DarPaso,Caminar,Pausa,Neutral,0.0,829.941,435.015,0.609378,800.581,427.69199999999995,0.550864,800.552,521.668,0.751409,859.305,437.964,0.61784,895.972,515.77,0.777572
DarPaso,Caminar,Pausa,Neutral,0.0,822.59,437.958,0.6278239999999999,793.227,435.015,0.577589,793.2510000000001,521.672,0.767885,851.951,439.467,0.626603,882.757,528.995,0.830234
DarPaso,Caminar,Pausa,Neutral,0.0,812.32,442.366,0.62378,784.432,437.98900000000003,0.607755,791.757,530.47,0.751145,838.773,448.255,0.629847,866.623,542.203,0.807664
DarPaso,Caminar,Pausa,Neutral,0.0,803.497,442.37199999999996,0.618317,774.154,437.978,0.580609,788.822,528.989,0.726723,831.408,449.71,0.620553,850.5089999999999,548.067,0.838967
DarPaso,Caminar,Pausa,Neutral,0.0,799.1139999999999,452.62800000000004,0.637838,772.706,446.782,0.578828,788.8330000000001,533.406,0.7367630000000001,822.602,455.575,0.631827,834.3439999999999,555.395,0.8191430000000001
DarPaso,Caminar,Pausa,Neutral,0.0,793.2489999999999,451.164,0.6320140000000001,771.221,443.847,0.583397,787.362,539.265,0.71349,816.699,454.124,0.639416,818.171,556.876,0.787655
DarPaso,Caminar,Pausa,Neutral,0.0,788.8480000000001,445.305,0.5989680000000001,769.742,439.44699999999995,0.532523,785.888,536.3240000000001,0.605942,809.368,451.175,0.5982649999999999,806.459,556.889,0.67074
DarPaso,Caminar,Pausa,Neutral,0.0,785.8939999999999,448.235,0.5316420000000001,769.76,442.37800000000004,0.423045,784.422,551.025,0.630371,799.097,452.63599999999997,0.56639,788.82,556.8969999999999,0.702124
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,785.904,445.30199999999996,0.48176599999999997,774.16,439.445,0.3131,784.4169999999999,551.013,0.503011,791.7660000000001,452.647,0.566217,772.697,562.749,0.6431
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,787.3689999999999,439.44699999999995,0.480832,788.8380000000001,435.039,0.301478,793.215,555.43,0.536958,787.3589999999999,449.711,0.5642189999999999,759.455,567.137,0.773546
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,787.35,439.434,0.492145,796.166,429.157,0.329005,788.818,545.148,0.353445,782.967,452.634,0.541779,753.6030000000001,567.159,0.757078
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,784.443,436.515,0.526846,796.1619999999999,421.81699999999995,0.373259,788.805,537.795,0.366635,778.556,449.71,0.541037,744.814,567.16,0.779098
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,780.007,436.49199999999996,0.502884,788.828,417.42900000000003,0.369481,785.88,531.919,0.368603,771.221,449.709,0.552002,744.77,568.622,0.756319
