Accion,Actividad,Categoria,Emocion,person,Nose_x,Nose_y,Nose_c,Neck_x,Neck_y,Neck_c,RShoulder_x,RShoulder_y,RShoulder_c,RElbow_x,RElbow_y,RElbow_c,RWrist_x,RWrist_y,RWrist_c,LShoulder_x,LShoulder_y,LShoulder_c,LElbow_x,LElbow_y,LElbow_c,LWrist_x,LWrist_y,LWrist_c,RHip_x,RHip_y,RHip_c
DarPaso,Caminar,Pausa,Neutral,0.0,838.7610000000001,4.9888,0.174395,843.165,40.113,0.8517629999999999,790.311,53.3279,0.803674,765.347,120.896,0.87761,816.704,153.16899999999998,0.8804690000000001,898.9019999999999,28.4239,0.8469540000000001,922.452,95.9254,0.840009,898.9119999999999,135.547,0.907175,831.416,198.68599999999998,0.7423770000000001
DarPaso,Caminar,Pausa,Neutral,0.0,840.202,4.9356800000000005,0.421296,847.56,46.0216,0.814963,793.215,59.2017,0.795792,769.709,131.144,0.897708,824.054,160.531,0.816399,898.967,35.75,0.848066,925.3660000000001,101.801,0.888026,898.954,141.43,0.853964,835.799,204.54,0.738697
DarPaso,Caminar,Pausa,Neutral,0.0,840.184,4.90278,0.891093,850.465,53.3814,0.8700889999999999,794.697,66.545,0.781297,771.2330000000001,137.062,0.850353,831.426,169.301,0.8682270000000001,901.8810000000001,40.1716,0.8513700000000001,928.299,106.196,0.8961549999999999,901.852,147.322,0.8831450000000001,837.294,211.88,0.717042
DarPaso,Caminar,Pausa,Neutral,0.0,840.191,4.89885,0.9145559999999999,851.95,59.2415,0.876634,799.1,72.4541,0.77558,777.0880000000001,150.218,0.8491690000000001,835.834,172.28400000000002,0.8655709999999999,906.2739999999999,47.4875,0.806872,931.242,113.53399999999999,0.8733879999999999,903.3539999999999,151.734,0.8557049999999999,840.2080000000001,214.84400000000002,0.728863
DarPaso,Caminar,Pausa,Neutral,0.0,838.7760000000001,16.6322,0.881827,853.418,65.0827,0.873461,802.0260000000001,78.2985,0.783538,781.465,157.567,0.863108,840.227,179.61700000000002,0.872027,909.199,53.3427,0.849707,934.1489999999999,119.39399999999999,0.8557610000000001,909.2260000000001,156.115,0.8674629999999999,847.554,222.18400000000003,0.708542
DarPaso,Caminar,Pausa,Neutral,0.0,838.745,22.4962,0.868806,854.913,69.5038,0.850957,803.493,84.1964,0.79933,782.97,166.38400000000001,0.8705809999999999,848.993,182.514,0.856547,910.686,54.8442,0.855442,937.09,120.866,0.846405,912.168,161.984,0.8323709999999999,850.515,228.033,0.731953
DarPaso,Caminar,Pausa,Neutral,0.0,838.753,28.3891,0.8996430000000001,857.824,75.3367,0.8604809999999999,803.4910000000001,88.5795,0.800924,785.916,170.79,0.895424,853.405,184.007,0.8716459999999999,913.61,59.2224,0.8371629999999999,941.485,123.84100000000001,0.844324,918.0060000000001,167.831,0.839026,851.947,232.445,0.71626
DarPaso,Caminar,Pausa,Neutral,0.0,838.7660000000001,34.2768,0.894583,860.7769999999999,78.3243,0.8590780000000001,804.9839999999999,94.4533,0.7747069999999999,787.3689999999999,178.118,0.8902120000000001,857.812,189.886,0.8321790000000001,916.545,63.6383,0.818199,944.472,129.695,0.8754799999999999,920.97,170.785,0.8443780000000001,853.4169999999999,238.32,0.698168
DarPaso,Caminar,Pausa,Neutral,0.0,840.222,40.1344,0.913583,863.664,84.1906,0.8756459999999999,806.435,100.309,0.800507,788.813,182.547,0.8943469999999999,859.305,195.72,0.8559260000000001,919.4889999999999,68.0509,0.804136,945.943,135.537,0.9022979999999999,928.2869999999999,178.11599999999999,0.830461,853.442,242.727,0.70598
DarPaso,Caminar,Pausa,Neutral,0.0,841.675,44.5271,0.855189,863.7289999999999,87.1249,0.8791629999999999,809.372,101.824,0.793181,788.8589999999999,186.93099999999998,0.856549,860.7660000000001,198.68200000000002,0.871898,920.961,73.8945,0.820702,948.8689999999999,135.58700000000002,0.869108,932.7080000000001,182.51,0.862043,856.3610000000001,247.146,0.717182
DarPaso,Caminar,Pausa,Neutral,0.0,844.6139999999999,51.8919,0.8734209999999999,865.202,90.0477,0.849068,810.8539999999999,106.19,0.793764,790.291,192.78,0.865727,862.227,204.575,0.869376,923.915,76.842,0.830198,953.227,145.852,0.858194,937.091,184.019,0.8299549999999999,859.297,251.546,0.705248
DarPaso,Caminar,Pausa,Neutral,0.0,847.557,54.8563,0.894877,868.1080000000001,97.3915,0.828174,812.332,110.57700000000001,0.784062,790.32,194.24599999999998,0.8772969999999999,862.212,211.888,0.848974,926.841,82.7257,0.830391,956.183,148.773,0.8813610000000001,942.94,192.785,0.81585,860.7819999999999,257.402,0.7070029999999999
DarPaso,Caminar,Pausa,Neutral,0.0,849.0269999999999,60.6689,0.8980870000000001,871.034,101.78399999999999,0.855927,813.775,113.564,0.777575,791.7589999999999,194.31400000000002,0.8748670000000001,857.8430000000001,216.324,0.8651139999999999,929.773,87.1346,0.8543370000000001,957.63,153.19299999999998,0.876083,944.461,197.213,0.864367,862.258,263.288,0.72959
DarPaso,Caminar,Pausa,Neutral,0.0,850.503,65.0711,0.906291,873.9680000000001,104.74700000000001,0.8624200000000001,815.24,117.96,0.7789739999999999,791.765,195.77599999999998,0.879318,857.818,225.088,0.8410120000000001,931.253,92.9938,0.812499,957.68,159.066,0.8531700000000001,945.923,203.084,0.8600969999999999,862.2589999999999,267.67400000000004,0.728297
DarPaso,Caminar,Pausa,Neutral,0.0,851.945,70.9449,0.900964,875.444,110.62100000000001,0.8528690000000001,815.26,122.361,0.799779,791.7860000000001,198.671,0.86761,853.442,231.017,0.8422149999999999,934.1560000000001,101.785,0.835463,960.5830000000001,169.30200000000002,0.862654,947.378,211.89,0.836168,863.721,274.994,0.734955
DarPaso,Caminar,Pausa,Neutral,0.0,853.422,76.822,0.893209,876.945,117.955,0.8547100000000001,816.694,128.2,0.7921520000000001,793.238,201.606,0.852467,851.934,244.19799999999998,0.8691139999999999,938.571,109.10700000000001,0.797752,963.534,176.658,0.827636,948.8439999999999,216.324,0.872901,863.7230000000001,279.431,0.7227520000000001
DarPaso,Caminar,Pausa,Neutral,0.0,856.365,84.1723,0.8893969999999999,878.3969999999999,123.824,0.8713860000000001,816.701,134.065,0.8137800000000001,794.7130000000001,206.01,0.841145,849.023,254.477,0.8267100000000001,942.955,117.921,0.784515,966.4580000000001,182.50400000000002,0.8613959999999999,950.313,225.115,0.858657,865.176,286.755,0.707908
DarPaso,Caminar,Pausa,Neutral,0.0,860.7330000000001,90.0584,0.8769020000000001,879.86,132.61700000000002,0.8724780000000001,816.706,138.496,0.784172,796.19,210.425,0.8196049999999999,841.706,266.218,0.822666,944.4639999999999,123.835,0.812059,969.4169999999999,191.33,0.8310559999999999,951.789,232.433,0.8497969999999999,866.64,289.70099999999996,0.702266
