Accion,Actividad,Categoria,Emocion,person,MidHip_x,MidHip_y,RHip_x,RHip_y,RKnee_x,RKnee_y,LHip_x,LHip_y,LKnee_x,LKnee_y
DarPaso,Caminar,Pausa,Neutral,0.0,873.987,392.47900000000004,838.745,389.541,831.3910000000001,487.87699999999995,909.2080000000001,398.33,944.436,484.936
DarPaso,Caminar,Pausa,Neutral,0.0,871.055,404.21,837.2769999999999,401.274,829.922,498.148,906.26,405.68199999999996,944.4119999999999,487.88
DarPaso,Caminar,Pausa,Neutral,0.0,868.084,404.225,837.248,402.728,822.6080000000001,499.662,898.953,407.135,940.029,490.82199999999995
DarPaso,Caminar,Pausa,Neutral,0.0,862.206,408.615,831.3989999999999,405.69,816.715,502.577,893.059,411.54400000000004,931.247,490.815
DarPaso,Caminar,Pausa,Neutral,0.0,854.8739999999999,410.07099999999997,825.51,405.67800000000005,813.76,502.55800000000005,884.237,414.467,922.447,498.14300000000003
DarPaso,Caminar,Pausa,Neutral,0.0,847.5419999999999,417.42900000000003,815.268,413.023,807.916,512.842,878.3660000000001,423.293,915.081,501.099
DarPaso,Caminar,Pausa,Neutral,0.0,837.289,426.221,807.904,421.825,804.966,520.187,868.112,430.63800000000003,906.2769999999999,508.412
DarPaso,Caminar,Pausa,Neutral,0.0,829.941,435.015,800.581,427.69199999999995,800.552,521.668,859.305,437.964,895.972,515.77
DarPaso,Caminar,Pausa,Neutral,0.0,822.59,437.958,793.227,435.015,793.2510000000001,521.672,851.951,439.467,882.757,528.995
DarPaso,Caminar,Pausa,Neutral,0.0,812.32,442.366,784.432,437.98900000000003,791.757,530.47,838.773,448.255,866.623,542.203
DarPaso,Caminar,Pausa,Neutral,0.0,803.497,442.37199999999996,774.154,437.978,788.822,528.989,831.408,449.71,850.5089999999999,548.067
DarPaso,Caminar,Pausa,Neutral,0.0,799.1139999999999,452.62800000000004,772.706,446.782,788.8330000000001,533.406,822.602,455.575,834.3439999999999,555.395
DarPaso,Caminar,Pausa,Neutral,0.0,793.2489999999999,451.164,771.221,443.847,787.362,539.265,816.699,454.124,818.171,556.876
DarPaso,Caminar,Pausa,Neutral,0.0,788.8480000000001,445.305,769.742,439.44699999999995,785.888,536.3240000000001,809.368,451.175,806.459,556.889
DarPaso,Caminar,Pausa,Neutral,0.0,785.8939999999999,448.235,769.76,442.37800000000004,784.422,551.025,799.097,452.63599999999997,788.82,556.8969999999999
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,785.904,445.30199999999996,774.16,439.445,784.4169999999999,551.013,791.7660000000001,452.647,772.697,562.749
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,787.3689999999999,439.44699999999995,788.8380000000001,435.039,793.215,555.43,787.3589999999999,449.711,759.455,567.137
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,787.35,439.434,796.166,429.157,788.818,545.148,782.967,452.634,753.6030000000001,567.159
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,784.443,436.515,796.1619999999999,421.81699999999995,788.805,537.795,778.556,449.71,744.814,567.16
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,780.007,436.49199999999996,788.828,417.42900000000003,785.88,531.919,771.221,449.709,744.77,568.622
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,771.235,437.978,785.877,423.288,785.867,528.995,766.788,452.651,746.2660000000001,567.168
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,768.2660000000001,439.445,781.4789999999999,424.767,785.877,527.506,759.467,454.11400000000003,749.211,567.1469999999999
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,763.8610000000001,442.376,777.095,427.69300000000004,782.972,521.649,753.6010000000001,458.51300000000003,750.6469999999999,568.6030000000001
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,756.553,449.705,771.222,432.103,781.48,520.169,743.341,462.93199999999996,749.189,568.622
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,750.677,448.244,766.805,432.101,780.02,530.443,738.93,461.467,744.82,570.091
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,747.7139999999999,451.19,765.3380000000001,435.023,775.628,528.992,734.534,467.325,744.803,568.644
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,741.8760000000001,452.664,760.924,436.491,772.702,530.462,728.6439999999999,468.80400000000003,743.3330000000001,571.582
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,738.9019999999999,455.579,756.513,437.959,768.297,528.9680000000001,722.779,470.28,743.291,573.036
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,734.4910000000001,457.06,749.201,437.98,766.8,530.431,719.824,474.671,741.832,574.497
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,727.17,459.991,743.33,440.903,762.4,528.9830000000001,715.427,479.069,738.926,577.446
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,722.7819999999999,464.398,740.378,446.784,759.461,530.462,711.015,483.48,737.442,580.3580000000001
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,721.2919999999999,462.939,737.455,445.31800000000004,755.048,530.4580000000001,708.0989999999999,483.485,734.5239999999999,580.377
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,716.878,468.81199999999995,731.58,452.658,749.199,531.924,705.1469999999999,484.962,730.122,580.373
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,712.485,471.731,725.698,454.121,740.39,531.908,700.7610000000001,486.43199999999996,728.625,580.37
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,708.092,477.606,721.312,459.994,730.0930000000001,531.943,696.357,490.825,724.2660000000001,578.903
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,705.155,479.06699999999995,719.821,464.38699999999994,721.289,533.403,696.334,492.288,722.745,580.393
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,700.75,477.602,715.429,462.93300000000005,715.42,536.318,694.878,487.881,715.447,575.97
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,696.346,482.024,712.488,470.28,712.487,542.191,693.393,496.69699999999995,715.439,578.9069999999999
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,693.414,484.93699999999995,706.622,473.209,712.485,545.1569999999999,688.998,498.151,713.95,580.387
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,690.4739999999999,484.95599999999996,702.206,476.142,709.543,548.076,686.055,498.163,712.4830000000001,580.389
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,684.61,486.414,696.342,479.08,708.107,550.995,680.186,498.164,718.363,589.174
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,674.328,492.288,684.5939999999999,483.472,705.1469999999999,577.42,677.252,502.56699999999995,721.27,592.09
SoltarObjeto,Acomodar,Trabajo,Neutral,0.0,669.927,495.226,674.316,484.954,706.6260000000001,574.497,672.867,505.491,716.8960000000001,590.622
DarPaso,Caminar,Pausa,Neutral,0.0,658.186,496.694,671.3889999999999,483.48900000000003,708.086,577.428,662.584,506.959,712.482,587.7090000000001
DarPaso,Caminar,Pausa,Neutral,0.0,649.355,501.095,637.621,498.163,699.273,580.362,653.783,508.431,709.54,589.173
DarPaso,Caminar,Pausa,Neutral,0.0,640.558,506.974,622.943,505.5,699.2689999999999,587.721,650.854,511.38300000000004,705.153,592.09
DarPaso,Caminar,Pausa,Neutral,0.0,633.216,515.7669999999999,614.125,508.44,702.2,587.7,652.307,521.646,703.693,593.568
DarPaso,Caminar,Pausa,Neutral,0.0,627.352,512.841,609.729,506.964,699.275,586.248,643.518,518.712,697.819,593.552
DarPaso,Caminar,Pausa,Neutral,0.0,630.295,520.185,624.4119999999999,521.64,693.4060000000001,593.57,642.033,523.132,694.8810000000001,593.558
DarPaso,Caminar,Pausa,Neutral,0.0,628.807,523.115,622.928,528.979,686.072,596.5419999999999,639.094,520.19,693.395,593.57
DarPaso,Caminar,Pausa,Neutral,0.0,624.39,520.165,614.134,524.586,677.283,595.052,628.8240000000001,517.235,687.539,592.138
DarPaso,Caminar,Pausa,Neutral,0.0,614.151,515.789,609.735,517.253,674.34,592.13,620.0,518.71,678.7330000000001,592.099
DarPaso,Caminar,Pausa,Neutral,0.0,603.839,509.917,597.974,512.846,665.5360000000001,587.705,608.275,511.365,671.3989999999999,584.7909999999999
DarPaso,Caminar,Pausa,Neutral,0.0,593.595,504.035,531.935,462.92699999999996,527.513,499.625,597.985,505.51,661.122,583.298
DarPaso,Caminar,Pausa,Neutral,0.0,580.365,498.151,526.049,462.94,512.846,499.63300000000004,586.241,499.647,649.362,578.927
